origem,alvo,h,modelo,y_true,media,q10,q20,q30,q40,q50,q60,q70,q80,q90
2018-04-01,2018-05-01,1,ar1_logdiff,-0.071201,0.040871,0.024564,0.029726,0.033358,0.037710,0.043864,0.045857,0.048366,0.050332,0.053677
2018-04-01,2018-06-01,2,ardl_logdiff,0.035874,0.035658,-0.000931,0.011906,0.018079,0.026003,0.040646,0.048436,0.052340,0.058025,0.067560
2018-04-01,2018-06-01,2,ar1_logdiff,0.035874,0.029654,-0.003041,0.007308,0.014592,0.023318,0.035656,0.039653,0.044682,0.048625,0.055331
2018-05-01,2018-06-01,1,ardl_logdiff,0.035874,-0.065929,-0.081573,-0.074990,-0.070921,-0.067483,-0.063637,-0.058605,-0.055529,-0.053437,-0.049367
2018-05-01,2018-06-01,1,ar1_logdiff,0.035874,-0.063655,-0.078071,-0.073539,-0.069587,-0.067155,-0.059313,-0.056295,-0.054229,-0.051935,-0.047666
2018-05-01,2018-07-01,2,ardl_logdiff,0.031040,-0.063537,-0.101305,-0.085412,-0.075589,-0.067289,-0.058004,-0.045855,-0.038430,-0.033380,-0.023554
2018-05-01,2018-07-01,2,ar1_logdiff,0.031040,-0.073680,-0.102760,-0.093617,-0.085645,-0.080739,-0.064919,-0.058833,-0.054664,-0.050037,-0.041425
2018-06-01,2018-07-01,1,ardl_logdiff,0.031040,-0.042327,-0.061485,-0.054609,-0.048679,-0.045068,-0.041577,-0.037130,-0.032473,-0.027295,-0.019207
2018-06-01,2018-07-01,1,ar1_logdiff,0.031040,-0.055850,-0.074679,-0.067949,-0.062030,-0.058450,-0.053708,-0.051375,-0.046414,-0.040867,-0.034758
2018-06-01,2018-08-01,2,ardl_logdiff,0.022407,-0.006371,-0.052623,-0.036022,-0.021707,-0.012989,-0.004560,0.006175,0.017420,0.029920,0.049446
2018-06-01,2018-08-01,2,ar1_logdiff,0.022407,0.003927,-0.038179,-0.023131,-0.009894,-0.001888,0.008717,0.013934,0.025026,0.037430,0.051091
2018-07-01,2018-08-01,1,ardl_logdiff,0.022407,-0.023145,-0.044398,-0.036646,-0.030281,-0.026730,-0.021725,-0.016912,-0.012457,-0.007092,-0.000775
2018-07-01,2018-08-01,1,ar1_logdiff,0.022407,0.029095,0.011193,0.018006,0.021342,0.024604,0.029485,0.034634,0.036234,0.043097,0.046198
2018-07-01,2018-09-01,2,ardl_logdiff,-0.010854,0.001214,-0.050094,-0.031380,-0.016013,-0.007439,0.004644,0.016262,0.027017,0.039971,0.055220
2018-07-01,2018-09-01,2,ar1_logdiff,-0.010854,0.022823,-0.014566,-0.000337,0.006631,0.013444,0.023638,0.034392,0.037733,0.052066,0.058544
2018-08-01,2018-09-01,1,ardl_logdiff,-0.010854,0.018620,-0.001692,0.005751,0.010875,0.013853,0.017460,0.023841,0.028764,0.033173,0.040561
2018-08-01,2018-09-01,1,ar1_logdiff,-0.010854,0.018887,0.001180,0.008415,0.011480,0.014315,0.018831,0.024458,0.026127,0.032887,0.036037
2018-08-01,2018-10-01,2,ardl_logdiff,-0.005848,0.009165,-0.039871,-0.021904,-0.009532,-0.002343,0.006366,0.021769,0.033655,0.044300,0.062136
2018-08-01,2018-10-01,2,ar1_logdiff,-0.005848,0.005644,-0.031336,-0.016227,-0.009825,-0.003904,0.005528,0.017280,0.020765,0.034885,0.041463
2018-09-01,2018-10-01,1,ardl_logdiff,-0.005848,-0.004719,-0.025239,-0.017732,-0.011722,-0.009278,-0.005251,0.001040,0.006106,0.009918,0.017268
2018-09-01,2018-10-01,1,ar1_logdiff,-0.005848,-0.011997,-0.029374,-0.023893,-0.019388,-0.016472,-0.011994,-0.005945,-0.004307,0.002336,0.005510
2018-09-01,2018-11-01,2,ardl_logdiff,-0.010706,-0.015792,-0.065331,-0.047208,-0.032697,-0.026797,-0.017076,-0.001889,0.010342,0.019545,0.037290
2018-09-01,2018-11-01,2,ar1_logdiff,-0.010706,-0.023365,-0.059620,-0.048184,-0.038784,-0.032700,-0.023359,-0.010739,-0.007321,0.006539,0.013162
2018-10-01,2018-11-01,1,ardl_logdiff,-0.010706,-0.016323,-0.036778,-0.029098,-0.023183,-0.020772,-0.017051,-0.010652,-0.005732,-0.002107,0.005596
2018-10-01,2018-11-01,1,ar1_logdiff,-0.010706,-0.019797,-0.037291,-0.031324,-0.027088,-0.024009,-0.019415,-0.013881,-0.012342,-0.005625,-0.002376
2018-10-01,2018-12-01,2,ardl_logdiff,-0.039409,-0.048409,-0.097790,-0.079250,-0.064970,-0.059150,-0.050165,-0.034718,-0.022840,-0.014088,0.004508
2018-10-01,2018-12-01,2,ar1_logdiff,-0.039409,-0.045952,-0.082481,-0.070021,-0.061175,-0.054747,-0.045154,-0.033597,-0.030384,-0.016357,-0.009573
2018-11-01,2018-12-01,1,ardl_logdiff,-0.039409,-0.045703,-0.066233,-0.058306,-0.052632,-0.050190,-0.046350,-0.040204,-0.035618,-0.031971,-0.023701
2018-11-01,2018-12-01,1,ar1_logdiff,-0.039409,-0.040596,-0.058232,-0.051815,-0.047853,-0.044869,-0.039839,-0.034649,-0.033087,-0.027130,-0.023481
2018-11-01,2019-01-01,2,ardl_logdiff,-0.021443,-0.022630,-0.072195,-0.053056,-0.039358,-0.033463,-0.024192,-0.009355,0.001717,0.010522,0.030487
2018-11-01,2019-01-01,2,ar1_logdiff,-0.021443,-0.019940,-0.056739,-0.043348,-0.035082,-0.028857,-0.018362,-0.007532,-0.004274,0.008155,0.015769
2018-12-01,2019-01-01,1,ardl_logdiff,-0.021443,-0.019540,-0.040111,-0.032164,-0.026489,-0.023910,-0.020237,-0.014060,-0.009922,-0.006140,0.002121
2018-12-01,2019-01-01,1,ar1_logdiff,-0.021443,-0.019237,-0.036890,-0.029968,-0.026297,-0.023403,-0.018287,-0.013358,-0.011800,-0.006262,-0.002208
2018-12-01,2019-02-01,2,ardl_logdiff,-0.010748,-0.016344,-0.066007,-0.046821,-0.033119,-0.026893,-0.018026,-0.003113,0.006876,0.016008,0.035952
2018-12-01,2019-02-01,2,ar1_logdiff,-0.010748,-0.013883,-0.050714,-0.036272,-0.028613,-0.022575,-0.011899,-0.001615,0.001635,0.013189,0.021647
2019-01-01,2019-02-01,1,ardl_logdiff,-0.010748,-0.017277,-0.037794,-0.029838,-0.024053,-0.021404,-0.018004,-0.011832,-0.007926,-0.004030,0.004386
2019-01-01,2019-02-01,1,ar1_logdiff,-0.010748,-0.015189,-0.032800,-0.025374,-0.021961,-0.019190,-0.014416,-0.009344,-0.007822,-0.002646,0.001813
2019-01-01,2019-03-01,2,ardl_logdiff,-0.032088,-0.032942,-0.082475,-0.063267,-0.049301,-0.042904,-0.034695,-0.019796,-0.010366,-0.000959,0.019358
2019-01-01,2019-03-01,2,ar1_logdiff,-0.032088,-0.033563,-0.070308,-0.054813,-0.047692,-0.041911,-0.031949,-0.021368,-0.018192,-0.007392,0.001911
2019-02-01,2019-03-01,1,ardl_logdiff,-0.032088,-0.029818,-0.050396,-0.042413,-0.036684,-0.033778,-0.030615,-0.024421,-0.020755,-0.016785,-0.008183
2019-02-01,2019-03-01,1,ar1_logdiff,-0.032088,-0.030936,-0.048618,-0.040686,-0.037530,-0.034884,-0.030020,-0.025265,-0.023753,-0.018931,-0.014068
2019-02-01,2019-04-01,2,ardl_logdiff,-0.029016,-0.035479,-0.085158,-0.065886,-0.052055,-0.045038,-0.037401,-0.022448,-0.013598,-0.004014,0.016753
2019-02-01,2019-04-01,2,ar1_logdiff,-0.029016,-0.036238,-0.073133,-0.056583,-0.049997,-0.044477,-0.034328,-0.024405,-0.021250,-0.011190,-0.001043
2019-03-01,2019-04-01,1,ardl_logdiff,-0.029016,-0.036609,-0.057132,-0.049123,-0.043303,-0.040399,-0.037415,-0.031243,-0.027671,-0.023698,-0.014943
2019-03-01,2019-04-01,1,ar1_logdiff,-0.029016,-0.036919,-0.054579,-0.046143,-0.043245,-0.040726,-0.036198,-0.031324,-0.029828,-0.025363,-0.020096
2019-03-01,2019-05-01,2,ardl_logdiff,0.085049,0.076435,0.026888,0.046225,0.060276,0.067284,0.074490,0.089389,0.098013,0.107605,0.128742
2019-03-01,2019-05-01,2,ar1_logdiff,0.085049,0.075033,0.038183,0.055785,0.061833,0.067088,0.076538,0.086707,0.089830,0.099146,0.110137
2019-04-01,2019-05-01,1,ardl_logdiff,0.085049,0.080180,0.059542,0.067495,0.073622,0.076365,0.079248,0.085562,0.088886,0.092761,0.101596
2019-04-01,2019-05-01,1,ar1_logdiff,0.085049,0.079696,0.061972,0.070413,0.073348,0.075808,0.080506,0.085285,0.086915,0.090681,0.096299
2019-04-01,2019-06-01,2,ardl_logdiff,-0.040822,-0.038055,-0.087880,-0.068681,-0.053888,-0.047266,-0.040306,-0.025062,-0.017037,-0.007683,0.013648
2019-04-01,2019-06-01,2,ar1_logdiff,-0.040822,-0.037002,-0.073993,-0.056377,-0.050250,-0.045117,-0.035311,-0.025338,-0.021938,-0.014078,-0.002353
2019-05-01,2019-06-01,1,ardl_logdiff,-0.040822,-0.035661,-0.056053,-0.047738,-0.041974,-0.039021,-0.034785,-0.030428,-0.027426,-0.023324,-0.014823
2019-05-01,2019-06-01,1,ar1_logdiff,-0.040822,-0.033843,-0.051582,-0.043138,-0.040168,-0.037729,-0.032907,-0.028406,-0.026815,-0.023413,-0.017430
