h,origem,alvo,y_true,y_dfm,y_ar1,y_comb,w_dfm,truncado,n_treino_gr
2,2024-11-01,2025-01-01,0.018682,0.014084,0.014609,0.014394,0.409732,False,82
2,2024-12-01,2025-02-01,0.012783,0.018173,0.002547,0.008949,0.409722,False,83
2,2025-01-01,2025-03-01,0.027397,0.010826,0.010932,0.010889,0.409987,False,84
2,2025-02-01,2025-04-01,0.024534,0.005793,0.006828,0.006404,0.409979,False,85
2,2025-03-01,2025-05-01,0.031809,0.000100,0.016415,0.009728,0.409896,False,86
2,2025-04-01,2025-06-01,-0.011418,0.000981,0.015112,0.009342,0.408304,False,87
2,2025-05-01,2025-07-01,0.001932,0.004056,0.019671,0.013275,0.409599,False,88
2,2025-06-01,2025-08-01,0.011617,0.003759,-0.006659,-0.002384,0.410381,False,89
2,2025-07-01,2025-09-01,-0.001918,0.004569,0.001501,0.002762,0.411024,False,90
2,2025-08-01,2025-10-01,-0.000959,0.001980,0.007450,0.005202,0.410960,False,91
2,2025-09-01,2025-11-01,0.003857,0.003241,-0.000808,0.000857,0.411109,False,92
2,2025-10-01,2025-12-01,-0.016393,-0.002479,-0.000287,-0.001188,0.411162,False,93
