origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2020-05-01,2020-07-01,2,dfm_2f,-0.026919,-0.124669,-0.110219,-0.092181,-0.067292,-0.054375,-0.031463,-0.007982,0.024434,0.038631,-0.051348
2020-06-01,2020-07-01,1,dfm_1f,-0.026919,-0.107089,-0.077923,-0.067375,-0.046158,-0.026998,-0.010819,-0.000429,0.020983,0.042110,-0.032789
2020-06-01,2020-08-01,2,dfm_1f,-0.005923,-0.139241,-0.095517,-0.078237,-0.052275,-0.026949,-0.003306,0.015774,0.044269,0.071507,-0.032837
2020-06-01,2020-07-01,1,dfm_2f,-0.026919,-0.131464,-0.121930,-0.114434,-0.103035,-0.100910,-0.094336,-0.088428,-0.084278,-0.068188,-0.103934
2020-06-01,2020-08-01,2,dfm_2f,-0.005923,-0.149056,-0.136104,-0.123688,-0.118045,-0.107541,-0.102162,-0.085286,-0.079647,-0.061785,-0.112038
2020-07-01,2020-08-01,1,dfm_1f,-0.005923,-0.106965,-0.076316,-0.064741,-0.044527,-0.026698,-0.012023,-0.000015,0.020696,0.041411,-0.032400
2020-07-01,2020-09-01,2,dfm_1f,0.019724,-0.139406,-0.093764,-0.073860,-0.048973,-0.024740,-0.002536,0.016636,0.045512,0.069333,-0.032180
2020-07-01,2020-08-01,1,dfm_2f,-0.005923,-0.138233,-0.127789,-0.123360,-0.109398,-0.107307,-0.100751,-0.096202,-0.090195,-0.072481,-0.110262
2020-07-01,2020-09-01,2,dfm_2f,0.019724,-0.146717,-0.135007,-0.127741,-0.116087,-0.109187,-0.100086,-0.089066,-0.079117,-0.065020,-0.111087
2020-08-01,2020-09-01,1,dfm_1f,0.019724,-0.106863,-0.075777,-0.062087,-0.043305,-0.026028,-0.009096,0.000463,0.020966,0.040658,-0.031745
2020-08-01,2020-10-01,2,dfm_1f,0.012536,-0.139554,-0.092707,-0.070931,-0.047746,-0.023516,-0.000702,0.016623,0.045497,0.067571,-0.031580
2020-08-01,2020-09-01,1,dfm_2f,0.019724,-0.140784,-0.131890,-0.121959,-0.109431,-0.104799,-0.100328,-0.094028,-0.089879,-0.067982,-0.108730
2020-08-01,2020-10-01,2,dfm_2f,0.012536,-0.150583,-0.142270,-0.134380,-0.121470,-0.112003,-0.105759,-0.093271,-0.082411,-0.068718,-0.114496
2020-09-01,2020-10-01,1,dfm_1f,0.012536,-0.106369,-0.074765,-0.059527,-0.041608,-0.023777,-0.006348,0.001590,0.021907,0.040328,-0.030271
2020-09-01,2020-11-01,2,dfm_1f,0.041502,-0.139632,-0.091464,-0.070147,-0.046603,-0.021769,0.003056,0.017394,0.045011,0.065936,-0.030446
2020-09-01,2020-10-01,1,dfm_2f,0.012536,-0.143410,-0.133347,-0.122100,-0.110353,-0.106948,-0.101127,-0.092574,-0.087354,-0.072742,-0.108330
2020-09-01,2020-11-01,2,dfm_2f,0.041502,-0.143968,-0.134559,-0.128341,-0.116162,-0.102808,-0.098001,-0.084760,-0.074701,-0.051027,-0.104550
2020-10-01,2020-11-01,1,dfm_1f,0.041502,-0.105943,-0.073872,-0.058404,-0.040116,-0.021766,-0.005312,0.003555,0.022696,0.039893,-0.029110
2020-10-01,2020-12-01,2,dfm_1f,0.051102,-0.139654,-0.090614,-0.069569,-0.045415,-0.019923,0.004226,0.018090,0.044659,0.064998,-0.029666
2020-10-01,2020-11-01,1,dfm_2f,0.041502,-0.127311,-0.117099,-0.103575,-0.095529,-0.090419,-0.082486,-0.073477,-0.068592,-0.043620,-0.090307
2020-10-01,2020-12-01,2,dfm_2f,0.051102,-0.116210,-0.105763,-0.099904,-0.087054,-0.075140,-0.067845,-0.052938,-0.044855,-0.015392,-0.074367
2020-11-01,2020-12-01,1,dfm_1f,0.051102,-0.105167,-0.073560,-0.057490,-0.039028,-0.021144,-0.003970,0.005111,0.023441,0.041867,-0.027684
2020-11-01,2021-01-01,2,dfm_1f,0.043478,-0.139446,-0.090739,-0.069103,-0.044646,-0.018450,0.003961,0.018616,0.045563,0.070498,-0.028500
2020-11-01,2020-12-01,1,dfm_2f,0.051102,-0.094770,-0.085308,-0.070853,-0.063769,-0.058009,-0.049819,-0.040387,-0.036012,-0.003158,-0.056882
2020-11-01,2021-01-01,2,dfm_2f,0.043478,-0.084318,-0.072444,-0.066074,-0.054402,-0.041471,-0.032638,-0.019053,-0.010561,0.022337,-0.039839
2020-12-01,2021-01-01,1,dfm_1f,0.043478,-0.104536,-0.074189,-0.056986,-0.038509,-0.021139,-0.002979,0.005824,0.025577,0.045807,-0.026619
