origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2020-02-01,2020-03-01,1,dfm_2f,-0.071146,-0.036253,-0.022158,-0.004998,0.001634,0.015257,0.040715,0.057792,0.078317,0.087881,0.024863
2020-03-01,2020-04-01,1,dfm_1f,-0.259078,-0.096078,-0.070724,-0.056945,-0.039949,-0.021603,-0.004407,0.003567,0.024663,0.044899,-0.023038
2020-03-01,2020-04-01,1,dfm_2f,-0.259078,-0.051414,-0.038419,-0.021453,-0.011565,-0.001274,0.022651,0.041583,0.060429,0.070167,0.007902
2020-04-01,2020-05-01,1,dfm_1f,-0.201375,-0.103556,-0.07306,-0.058652,-0.041578,-0.022499,-0.00598,0.002528,0.023199,0.042603,-0.027591
2020-04-01,2020-05-01,1,dfm_2f,-0.201375,-0.074791,-0.064522,-0.046709,-0.035325,-0.025922,-0.001415,0.014732,0.033295,0.042677,-0.020212
2020-05-01,2020-06-01,1,dfm_1f,-0.112103,-0.105721,-0.07703,-0.062233,-0.045014,-0.02605,-0.009344,-0.000379,0.021468,0.042751,-0.031755
2020-05-01,2020-06-01,1,dfm_2f,-0.112103,-0.099946,-0.0881,-0.071245,-0.058173,-0.050111,-0.02346,-0.00977,0.010402,0.019808,-0.044556
2020-06-01,2020-07-01,1,dfm_1f,-0.026919,-0.107089,-0.077923,-0.067375,-0.046158,-0.026998,-0.010819,-0.000429,0.020983,0.04211,-0.032789
2020-06-01,2020-07-01,1,dfm_2f,-0.026919,-0.131464,-0.12193,-0.114434,-0.103035,-0.10091,-0.094336,-0.088428,-0.084278,-0.068188,-0.103934
2020-07-01,2020-08-01,1,dfm_1f,-0.005923,-0.106965,-0.076316,-0.064741,-0.044527,-0.026698,-0.012023,-1.5e-05,0.020696,0.041411,-0.0324
2020-07-01,2020-08-01,1,dfm_2f,-0.005923,-0.138233,-0.127789,-0.12336,-0.109398,-0.107307,-0.100751,-0.096202,-0.090195,-0.072481,-0.110262
2020-08-01,2020-09-01,1,dfm_1f,0.019724,-0.106863,-0.075777,-0.062087,-0.043305,-0.026028,-0.009096,0.000463,0.020966,0.040658,-0.031745
2020-08-01,2020-09-01,1,dfm_2f,0.019724,-0.140784,-0.13189,-0.121959,-0.109431,-0.104799,-0.100328,-0.094028,-0.089879,-0.067982,-0.10873
2020-09-01,2020-10-01,1,dfm_1f,0.012536,-0.106369,-0.074765,-0.059527,-0.041608,-0.023777,-0.006348,0.00159,0.021907,0.040328,-0.030271
2020-09-01,2020-10-01,1,dfm_2f,0.012536,-0.14341,-0.133347,-0.1221,-0.110353,-0.106948,-0.101127,-0.092574,-0.087354,-0.072742,-0.10833
2020-10-01,2020-11-01,1,dfm_1f,0.041502,-0.105943,-0.073872,-0.058404,-0.040116,-0.021766,-0.005312,0.003555,0.022696,0.039893,-0.02911
2020-10-01,2020-11-01,1,dfm_2f,0.041502,-0.127311,-0.117099,-0.103575,-0.095529,-0.090419,-0.082486,-0.073477,-0.068592,-0.04362,-0.090307
2020-11-01,2020-12-01,1,dfm_1f,0.051102,-0.105167,-0.07356,-0.05749,-0.039028,-0.021144,-0.00397,0.005111,0.023441,0.041867,-0.027684
2020-11-01,2020-12-01,1,dfm_2f,0.051102,-0.09477,-0.085308,-0.070853,-0.063769,-0.058009,-0.049819,-0.040387,-0.036012,-0.003158,-0.056882
